Numéro du tour; Requin; Poisson
0;250;120;
1;250;136;
2;250;80;
3;166;89;
4;109;60;
5;73;82;
6;49;66;
7;34;106;
8;28;88;
9;48;154;
10;48;128;
11;46;221;
12;44;193;
13;38;348;
14;33;320;
15;30;605;
16;29;577;
17;28;1115;
18;28;1087;
19;55;1545;
20;56;1490;
21;56;1544;
22;56;1488;
23;56;1544;
24;56;1488;
25;56;1544;
26;56;1488;
27;56;1544;
28;56;1488;
29;110;1490;
30;112;1381;
31;112;1488;
32;112;1376;
33;112;1488;
34;112;1376;
35;112;1488;
36;112;1376;
37;112;1488;
38;112;1376;
39;220;1380;
40;224;1171;
41;224;1376;
42;224;1157;
43;224;1376;
44;224;1161;
45;224;1376;
46;224;1155;
47;224;1376;
48;224;1156;
49;434;1166;
50;442;908;
51;441;1157;
52;438;854;
53;404;1196;
54;404;849;
55;398;1201;
56;397;832;
57;395;1205;
58;394;832;
59;755;845;
60;771;570;
61;767;715;
62;746;483;
63;488;600;
64;450;409;
65;357;537;
66;335;383;
67;285;569;
68;263;401;
69;435;577;
70;450;341;
71;440;372;
72;423;202;
73;336;216;
74;284;139;
75;223;180;
76;168;126;
77;109;181;
78;94;141;
79;137;232;
80;142;173;
81;129;279;
82;124;236;
83;92;414;
84;68;370;
85;58;680;
86;52;642;
87;45;1225;
88;45;1183;
89;83;1517;
90;90;1435;
91;90;1510;
92;90;1420;
93;90;1510;
94;90;1420;
95;90;1510;
96;90;1420;
97;90;1510;
98;90;1420;
99;165;1435;
100;180;1282;
101;180;1420;
102;180;1252;
103;179;1421;
104;179;1247;
105;179;1421;
106;179;1246;
107;179;1420;
108;179;1247;
109;326;1274;
110;356;991;
111;355;1244;
112;355;926;
113;352;1248;
114;351;921;
115;343;1257;
116;342;922;
117;342;1258;
118;342;924;
119;621;979;
120;679;512;
121;679;506;
122;672;268;
123;569;284;
124;430;161;
125;289;181;
126;214;110;
127;148;150;
128;110;111;
129;149;174;
130;154;137;
131;140;230;
132;129;206;
133;69;365;
134;45;338;
135;36;637;
136;34;614;
137;34;1197;
138;34;1166;
139;58;1542;
140;68;1487;
141;68;1532;
142;68;1464;
143;68;1532;
144;68;1464;
145;68;1532;
146;68;1464;
147;68;1532;
148;68;1464;
149;116;1484;
150;136;1374;
151;136;1464;
152;136;1330;
153;136;1464;
154;136;1328;
155;136;1464;
156;136;1332;
157;136;1464;
158;136;1330;
159;230;1370;
160;270;1168;
161;269;1331;
162;268;1085;
163;265;1335;
164;265;1081;
165;263;1336;
166;263;1080;
167;262;1338;
168;262;1082;
169;444;1156;
170;524;840;
171;523;1076;
172;522;693;
173;495;909;
174;487;590;
175;452;793;
176;431;528;
177;396;712;
178;372;461;
179;560;619;
180;670;341;
181;656;355;
182;630;206;
183;480;231;
184;330;139;
185;213;170;
186;169;108;
187;119;146;
188;90;107;
189;116;163;
190;122;122;
191;119;191;
192;116;153;
193;83;264;
194;51;242;
195;40;454;
196;30;432;
197;23;832;
198;21;810;
199;38;1562;
200;42;1524;
201;42;1558;
202;42;1516;
203;42;1558;
204;42;1516;
205;42;1558;
206;42;1516;
207;42;1558;
208;42;1516;
209;76;1524;
210;84;1448;
211;84;1516;
212;84;1432;
213;84;1516;
214;84;1432;
215;84;1516;
216;84;1432;
217;84;1516;
218;84;1432;
219;152;1448;
220;168;1297;
221;168;1432;
222;168;1265;
223;168;1432;
224;168;1265;
225;168;1431;
226;168;1263;
227;168;1431;
228;168;1263;
229;304;1296;
230;336;1003;
231;336;1264;
232;336;938;
233;336;1264;
234;336;936;
235;336;1263;
236;336;935;
237;336;1264;
238;336;933;
239;606;994;
240;670;525;
241;670;538;
242;666;286;
243;579;302;
244;446;160;
245;314;173;
246;243;105;
247;165;127;
248;112;76;
249;143;112;
250;148;83;
251;135;140;
252;117;123;
253;52;223;
254;28;210;
255;22;409;
256;19;402;
257;16;795;
258;12;787;
259;15;1559;
260;20;1544;
261;20;1580;
262;20;1560;
263;20;1580;
264;20;1560;
265;20;1580;
266;20;1560;
267;20;1580;
268;20;1560;
269;30;1570;
270;40;1540;
271;40;1560;
272;40;1520;
273;40;1560;
274;40;1521;
275;40;1560;
276;40;1520;
277;40;1560;
278;40;1520;
279;60;1540;
280;80;1480;
281;80;1520;
282;80;1440;
283;80;1520;
284;80;1440;
285;80;1520;
286;80;1440;
287;80;1520;
288;80;1440;
289;120;1480;
290;160;1362;
291;160;1440;
292;160;1281;
293;160;1439;
294;160;1280;
295;160;1440;
296;160;1280;
297;160;1440;
298;160;1283;
299;238;1362;
